"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"1026","1.1448505943344096E+0","5.0274299796365186E-29","-2.0749297308257149E-33","1.9031297611521549E-15","5.6771712761983048E-2","4.9810397621743611E-34","3.1698463462651301E+0","3.3776822260323343E+0","1.4972095986043513E+1","7.1204457787721901E+2","1.215058560962404E-2"
"1025","1.1444177675933471E+0","-2.4925577375481976E-28","-3.0593709848088560E-33","1.0931269593658349E-16","5.8969882886659677E-2","2.9290791909637137E-33","3.1696680046708599E+0","3.3780277687057132E+0","1.4973627657090963E+1","7.1091805603901901E+2","1.215058560962404E-2"
"1024","1.1439833538538555E+0","1.4923242488141780E-29","2.7579330909557427E-33","-6.2466581847233370E-16","6.1171555003000935E-2","-6.1870029265699623E-33","3.1694830929726101E+0","3.3783867427745506E+0","1.4975218864864658E+1","7.0975136248079104E+2","1.215058560962404E-2"
"1023","1.1435473590841330E+0","1.5499320234907735E-28","2.7301796693328285E-33","3.8554915494141867E-16","6.3376737540582456E-2","-1.5163928553485357E-33","3.1692916189489302E+0","3.3787592109698061E+0","1.4976869887429224E+1","7.0854468964788600E+2","1.215058560962404E-2"
"1022","1.1431097894480771E+0","1.4412596246985322E-28","4.9167402211843820E-34","-8.3442756628487305E-18","6.5585438676273547E-2","1.2007028271756715E-33","3.1690935907784401E+0","3.3791452381942824E+0","1.4978581012476317E+1","7.0729823721109597E+2","1.215058560962404E-2"
"1021","1.1426706513066920E+0","-5.9291593315758511E-29","2.1147319695445576E-33","-1.1296107197425265E-15","6.7797666336750828E-2","-3.6131404960094816E-33","3.1688890170477402E+0","3.3795448915206467E+0","1.4980352537315850E+1","7.0601221206580396E+2","1.215058560962404E-2"
"1020","1.1422299512194301E+0","2.9511144539361913E-28","-6.6050696964918166E-34","-1.1980849233725206E-15","7.0013428201210662E-2","4.0497543627354038E-33","3.1686779067592501E+0","3.3799582401910424E+0","1.4982184768874278E+1","7.0468682831803198E+2","1.215058560962404E-2"
"1019","1.1417876959454947E+0","-6.2317526294058368E-29","5.3342611209170732E-34","-4.5265179823519474E-16","7.2232731704278325E-2","-2.3230633639728530E-34","3.1684602693389601E+0","3.3803853556157559E+0","1.4984078023688669E+1","7.0332230725836905E+2","1.215058560962404E-2"
"1018","1.1413438924450867E+0","-1.4963247393841648E-28","-1.4666378528980746E-33","-2.5473398801814176E-16","7.4455584039139197E-2","7.1787182865327856E-34","3.1682361146440101E+0","3.3808263113736863E+0","1.4986032627908822E+1","7.0191887743119196E+2","1.215058560962404E-2"
"1017","1.1408985478806040E+0","3.1460079551190151E-28","-2.2631733961663960E-33","-7.0791358980925604E-16","7.6681992160867185E-2","1.4773767284768055E-33","3.1680054529702502E+0","3.3812811832115646E+0","1.4988048917293765E+1","7.0047677453612300E+2","1.215058560962404E-2"
"1016","1.1404516696177773E+0","7.8990797415445079E-29","-3.2396859407532408E-33","-1.6869085291248218E-15","7.8911962789953813E-2","8.8739831785100717E-34","3.1677682950596600E+0","3.3817500490446530E+0","1.4990127237214887E+1","6.9899624146242400E+2","1.215058560962404E-2"
