"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"505","4.8455546812676348E-1","-2.2565298967095663E-24","8.6311355945220647E-1","-2.0109224487554198E-12","5.0784836954334134E-1","2.3066764565390812E-12","1.9851737157334599E+0","3.0601354530136922E+0","1.3564521072971164E+1","2.0274716542580299E+2","1.215058560962404E-2"
"504","4.8288555409820161E-1","1.9819435620210068E-24","8.6407275412311368E-1","-1.6394965967174039E-12","5.0951185478260608E-1","1.8700573405415062E-12","1.9818246331170499E+0","3.0605017819054710E+0","1.3566144882128787E+1","2.0346332155252401E+2","1.215058560962404E-2"
"503","4.8121438114103354E-1","4.4469417874617701E-24","8.6502834597165146E-1","-1.2158287321100109E-12","5.1117663882125930E-1","1.3758408773771475E-12","1.9784732847946400E+0","3.0608658456264815E+0","1.3567758650568576E+1","2.0417839573651000E+2","1.215058560962404E-2"
"502","4.7954195508540914E-1","1.1349106147867361E-24","8.6598033648396466E-1","-1.7793395078083185E-12","5.1284271560636963E-1","2.0212095417904547E-12","1.9751196808423199E+0","3.0612276623458152E+0","1.3569362458827820E+1","2.0489237303459399E+2","1.215058560962404E-2"
"501","4.7786828174775814E-1","7.1139414116960082E-25","8.6692872714021019E-1","-2.0880724487929825E-12","5.1451007910184743E-1","2.3728874702476153E-12","1.9717638313204600E+0","3.0615872500494183E+0","1.3570956386631996E+1","2.0560523853958099E+2","1.215058560962404E-2"
"500","4.7619336693075293E-1","-3.0107492860897916E-25","8.6787351941465107E-1","-2.0287022236107632E-12","5.1617872328758119E-1","2.2981804045294250E-12","1.9684057462744200E+0","3.0619446265423047E+0","1.3572540512904569E+1","2.0631697737946601E+2","1.215058560962404E-2"
"499","4.7451721642340039E-1","-1.7536040842230142E-24","8.6881471477566385E-1","-1.7624691339195146E-12","5.1784864215954218E-1","1.9882598988542016E-12","1.9650454357343199E+0","3.0622998094506872E+0","1.3574114915776430E+1","2.0702757471913699E+2","1.215058560962404E-2"
"498","4.7283983600112284E-1","2.9844864644815348E-24","8.6975231468576142E-1","-1.0631254696120758E-12","5.1951982972985633E-1","1.1872440873912545E-12","1.9616829097149500E+0","3.0626528162241358E+0","1.3575679672595490E+1","2.0773701575848199E+2","1.215058560962404E-2"
"497","4.7116123142578326E-1","-2.5410800273654077E-24","8.7068632060162787E-1","-1.6148341817714276E-12","5.2119228002612095E-1","1.8144104603322672E-12","1.9583181782162700E+0","3.0630036641376424E+0","1.3577234859935801E+1","2.0844528573520901E+2","1.215058560962404E-2"
"496","4.6948140844586400E-1","3.6660832892452232E-24","8.7161673397410389E-1","-1.3772423121812944E-12","5.2286598709267607E-1","1.5397283042266176E-12","1.9549512512221701E+0","3.0633523702937286E+0","1.3578780553606926E+1","2.0915236992297500E+2","1.215058560962404E-2"
"495","4.6780037279637321E-1","-2.7958516560234587E-24","8.7254355624827840E-1","-1.4933535026383314E-12","5.2454094498891191E-1","1.6668354576056523E-12","1.9515821387018999E+0","3.0636989516244655E+0","1.3580316828662870E+1","2.0985825363239601E+2","1.215058560962404E-2"
"494","4.6611813019903203E-1","9.7278321478660026E-25","8.7346678886345741E-1","-1.4546436299481858E-12","5.2621714779025164E-1","1.6187693397100190E-12","1.9482108506091500E+0","3.0640434248934616E+0","1.3581843759410910E+1","2.1056292221184799E+2","1.215058560962404E-2"
"493","4.6443468636228430E-1","-2.4054224068911111E-24","8.7438643325320975E-1","-1.2770915729426040E-12","5.2789458958760382E-1","1.4130653158854898E-12","1.9448373968824100E+0","3.0643858066979019E+0","1.3583361419420619E+1","2.1126636104623401E+2","1.215058560962404E-2"
"492","4.6275004698134786E-1","3.8383061864020194E-25","8.7530249084540501E-1","-1.6215976850319252E-12","5.2957326448721098E-1","1.8000335641387680E-12","1.9414617874450799E+0","3.0647261134704697E+0","1.3584869881532397E+1","2.1196855555939101E+2","1.215058560962404E-2"
"491","4.6106421773834216E-1","-2.6105631987738323E-24","8.7621496306219293E-1","-1.9092825598125415E-12","5.3125316661101618E-1","2.1187470211832097E-12","1.9380840322050199E+0","3.0650643614812823E+0","1.3586369217866032E+1","2.1266949121194600E+2","1.215058560962404E-2"
"490","4.5937720430229717E-1","-4.4535216035864187E-24","8.7712385132006288E-1","-2.0869364020912999E-12","5.3293429009615834E-1","2.3116983167347380E-12","1.9347041410549599E+0","3.0654005668397954E+0","1.3587859499829175E+1","2.1336915350300501E+2","1.215058560962404E-2"
"489","4.5768901232924797E-1","7.3455519832580412E-25","8.7802915702984319E-1","-1.5964100829351070E-12","5.3461662909511565E-1","1.7573723161492025E-12","1.9313221238722700E+0","3.0657347454966870E+0","1.3589340798125653E+1","2.1406752797055199E+2","1.215058560962404E-2"
"488","4.5599964746223520E-1","-4.4038907668532186E-24","8.7893088159675770E-1","-1.5778670802672987E-12","5.3630017777512640E-1","1.7327760450759432E-12","1.9279379905194600E+0","3.0660669132457326E+0","1.3590813182763808E+1","2.1476460019069600E+2","1.215058560962404E-2"
